idx,label,sentence1,sentence2,explanation
2815,neutral,"The two people are on the end of the dock with a boat behind them, and they are surrounded by water.",A couple on the dock getting ready to board their boat.,Just because two people are at the end of the dock doesn't mean they are getting ready to board their boat
2816,neutral,"Two dogs, one lying down, play in a yard.",They are enjoying the day.,There is no indication the dogs are in the yard during the day.
2817,contradiction,"Two dogs, one lying down, play in a yard.",They are going to run away together.,A dog can't run while lying down.
2818,entailment,"Two dogs, one lying down, play in a yard.",They are outdoors.,"""Play in a yard"" implies ""outdoors."""
2819,contradiction,Two Olympic martial arts competitors go after each other in an international martial arts spectacle.,A man is cleaning and polishing a large candy dish.,To go after is not cleaning and polishing and a martial arts spectacle is not a candy dish.
2820,entailment,Two Olympic martial arts competitors go after each other in an international martial arts spectacle.,Two people are competing in the Olympics.,Two Olympic martial arts competitors go after each other in an international spectacle implies that two people are competing in the Olympics.
2821,neutral,Two Olympic martial arts competitors go after each other in an international martial arts spectacle.,A man in a white robe is kicking at another man in a white robe and black belt.,"The men are not necessarily wearing white robes, the man is not necessarily kicking the other, and the other man is not necessarily wearing a black belt."
2822,entailment,A red-haired clown cries streams of tears in a white hat on stage.,The clown is very upset.,"As red-haired clown cries streams of tears, it means clown is very upset."
2823,neutral,A red-haired clown cries streams of tears in a white hat on stage.,The clown is having a fit in front the the children.,Crying on stage does not imply that the clown is in front the the children.
2824,contradiction,A red-haired clown cries streams of tears in a white hat on stage.,A clown is riding in a small car outside.,Usually cries and riding would not be done at the same time. A stage is usually not outside.
2825,contradiction,A woman walking across an old rope and driftrood bridge between mountains.,A woman walking on the street downtown.,The woman is either walking across a rope or she is walking on the street - she cannot be both places at once.
2826,entailment,A woman walking across an old rope and driftrood bridge between mountains.,A woman walking on an old bridge near a mountain.,A woman is walking on an old bridge near a mountain to cross an old rope.
2827,entailment,A woman walking across an old rope and driftrood bridge between mountains.,A woman walking on a bridge in a mountain.,bridge between mountains is same as bridge in a mountain
2828,entailment,Several people mill around a sidewalk in front of a building looking as police put up crime scene tape.,Several people are outside.,around a side walk means outside
2829,contradiction,Several people mill around a sidewalk in front of a building looking as police put up crime scene tape.,Several people are sitting in a movie theater.,People that mill around a sidewalk could not have been sitting in a movie theater.
2830,neutral,Several people mill around a sidewalk in front of a building looking as police put up crime scene tape.,Several people saw a crime committed.,Just because people near a sidewalk watch police put up crime scene tape doesn't mean that the people saw a crime committed.
2831,entailment,"A young man smiles and points at something off-camera, while standing in front of a display.",The young man is in front of a display.,"While pointing, the young man is standing in front of a camera with a display behind him."
2832,contradiction,"A young man smiles and points at something off-camera, while standing in front of a display.",The young man is frowning with his hands in his pockets.,"The young man either smiles or is frowning, also he either points or his hands are in his pockets."
2833,neutral,"A young man smiles and points at something off-camera, while standing in front of a display.",The young man is pointing at a building.,A man pointing off camera is not necessarily pointing at a building.
2834,entailment,A dog runs along the ocean surf.,A canine is running on the seaside.,Along the ocean surf implies seaside.
2835,contradiction,A dog runs along the ocean surf.,A cat is running in the waves.,A dog and a cat are not the same animal.
2836,entailment,A teacher is talking to a classroom full of children.,An adult is instructing children.,Teacher is adult.
2837,neutral,A teacher is talking to a classroom full of children.,A teacher is explaining the course of the day's lesson plans.,The teacher could have been talking about many other things than the course of the day's lesson plans.
2838,neutral,"A city street performer with long gray hair sits on a green bucket, two woman look on behind the man.",The street performer begins his show.,"The street performer's show is not clear, so sitting on the bucket does not imply show is starting (could just be resting)"
